rgt,cycle,trans_type,lat_req,lon_req,asc_req,lon_actual,lat_actual,asc_actual,trans_file,crr_id,tdif,conflict,priority,accept,,,,
51,0,0,17.571,68.894,1,,,,V2.0,,,,1,y,,,,
52,0,1,48.186,-130.09,0,,,,V2.0,,,,1,y,,,,
52,0,0,70.544,-134.98,0,,,,V2.0,,,,1,y,,,,
52,0,1,68.99,53.207,1,,,,V2.0,,,,1,y,,,,
52,0,0,-5.3074,42.967,1,,,,V2.0,,,,1,y,,,,
52,0,1,-31.829,-145.02,0,,,,V2.0,,,,1,y,,,,
53,0,0,5.7051,-148.9,0,,,,V2.0,,,,1,y,,,,
53,0,1,52.163,-154.31,0,,,,V2.0,,,,1,y,,,,
53,0,0,70.223,-158.48,0,,,,V2.0,,,,1,y,,,,
53,0,1,71.041,30.342,1,,,,V2.0,,,,1,y,,,,
53,0,0,-35.943,16.083,1,,,,V2.0,,,,1,y,,,,
53,0,1,-31.826,-168.63,0,,,,V2.0,,,,1,y,,,,
54,0,0,15.95,-173.56,0,,,,V2.0,,,,1,y,,,,
54,0,1,56.631,2.9907,1,,,,V2.0,,,,1,y,,,,
54,0,0,0.92783,-3.6484,1,,,,V2.0,,,,1,y,,,,
54,0,1,-51.186,170.26,0,,,,V2.0,,,,1,y,,,,
55,0,0,15.63,162.85,0,,,,V2.0,,,,1,y,,,,
55,0,1,47.712,159.12,0,,,,V2.0,,,,1,y,,,,
55,0,0,70.874,154.03,0,,,,V2.0,,,,1,y,,,,
55,0,1,-47.701,146.12,0,,,,V2.0,,,,1,y,,,,
56,0,0,5.3939,140.27,0,,,,V2.0,,,,1,y,,,,
56,0,1,30.341,137.66,0,,,,V2.0,,,,1,y,,,,
56,0,0,72.443,129.75,0,,,,V2.0,,,,1,y,,,,
56,0,1,8.6041,-50.116,1,,,,V2.0,,,,1,y,,,,
56,0,0,-38.656,-55.101,1,,,,V2.0,,,,1,y,,,,
56,0,1,-37.7,121.2,0,,,,V2.0,,,,1,y,,,,
57,0,0,76.532,103.83,0,,,,V2.0,,,,1,y,,,,
57,0,1,60.753,-67.067,1,,,,V2.0,,,,1,y,,,,
57,0,0,38.65,-70.483,1,,,,V2.0,,,,1,y,,,,
57,0,1,25.08,-72.031,1,,,,V2.0,,,,1,y,,,,
57,0,0,-18.903,-76.514,1,,,,V2.0,,,,1,y,,,,
58,0,1,2.6734,93.302,0,,,,V2.0,,,,1,y,,,,
58,0,0,70.864,83.184,0,,,,V2.0,,,,1,y,,,,
58,0,1,59.171,-91.014,1,,,,V2.0,,,,1,y,,,,
58,0,0,12.451,-96.968,1,,,,V2.0,,,,1,y,,,,
59,0,1,19.63,67.958,0,,,,V2.0,,,,1,y,,,,
59,0,0,69.282,60.141,0,,,,V2.0,,,,1,y,,,,
59,0,1,68.2,-112.39,1,,,,V2.0,,,,1,y,,,,
59,0,0,25.729,-119.2,1,,,,V2.0,,,,1,y,,,,
