rgt,trans_type,lat,lon
156,1,40.387,-65.455
156,0,61.211,-68.756
156,1,73.564,118.68
156,0,-13.306,105.75
157,1,5.868,-85.328
157,0,60.259,-92.168
157,1,77.4096,97.4907
157,0,14.694,84.95
158,1,19.462,-110.33
158,0,69.435,-118.22
158,1,68.519,69.399
158,0,21.574,62.045
158,1,-30.72,-128.79
158,0,-13.011,-130.67
159,1,54.382,-138.32
159,0,69.561,-141.89
159,1,68.361,45.733
159,0,-32.278,32.863
159,1,-31.196,-152.35
160,0,27.456,-158.43
160,1,71.044,23.076
160,0,-21.923,10.377
160,1,-32.147,-175.87
161,0,10.821,179.69
161,1,63.3,-2.8991
161,0,2.0575,-10.803
161,1,-18.435,159.03
162,0,8.4271,156.32
162,1,54.863,150.74
162,0,72.751,145.96
162,1,-39.453,137.76
163,0,10.192,132.52
163,1,24.108,131.08
163,0,73.699,121.88
163,1,11.01,-57.141
163,0,-46.903,-63.446
163,1,-11.878,111.12
164,0,77.311,95.978
164,1,61.551,-74.164
164,0,3.4912,-81.517
165,1,14.67,84.824
165,0,69.596,76.388
165,1,64.091,-97.194
165,0,14.54,-104.02
166,1,19.299,60.726
166,0,68.798,53.038
166,1,69.16,-119.34
166,0,35.641,-125.35
166,1,-13.128,-130.43
166,0,-31.314,-132.37
166,1,-20.68,41.164
167,0,71.796,28.291
167,1,69.601,-142.8
167,0,55.376,-146.22
167,1,14.706,-151.24
167,0,-31.317,-155.99
167,1,-38.039,19.49
168,0,64.212,7.1123
168,1,17.1,-174.62
168,0,-32.914,-179.79
169,1,1.0608,-8.2808
169,0,33.523,-11.684
169,1,69.466,169.92
169,0,55.208,166.52
169,1,14.054,161.45
169,0,-18.256,158.19
170,1,72.302,147.41
170,0,29.877,139.51
170,1,3.4857,136.77
170,0,-36.587,132.55
170,1,-36.432,-51.559
171,0,9.5465,-56.371
171,1,41.338,-59.866
171,0,61.206,-63.045
171,1,74.041,124.63
171,0,-12.183,111.57
171,1,-58.463,-71.953
171,0,-33.894,-75.478
171,1,-16.517,-77.363
172,0,58.194,-86.048
172,1,71.9236,99.9995
172,0,17.577,90.956
173,1,14.661,-104.13
173,0,66.112,-111.47
173,1,68.996,75.267
173,0,19.979,67.587
174,1,48.497,-131.69
174,0,69.576,-136.18
174,1,68.84,51.599
174,0,-21.118,39.793
174,1,-31.041,-146.66
175,0,13.379,-151.24
175,1,51.678,-155.79
175,0,70.247,-160.05
175,1,71.68,29.046
175,0,-31.958,14.989
175,1,-31.993,-170.17
176,0,17.223,-175.25
176,1,57.909,1.6697
176,0,1.096,-5.189
176,1,-50.877,168.66
177,0,15.942,161.26
177,1,47.068,157.65
177,0,71.642,152.16
177,1,-45.014,144.19
178,0,6.9867,138.55
178,1,29.855,136.16
178,0,72.908,127.98
178,1,8.9328,-51.641
178,0,-41.824,-57.056
178,1,-39.138,119.81
179,0,77.464,101.56
179,1,60.92,-68.59
179,0,38.021,-72.117
179,1,25.249,-73.57
179,0,-17.137,-77.888
180,1,17.866,90.205
180,0,70.225,81.87
180,1,60.607,-92.278
180,0,12.621,-98.509
181,1,21.061,66.251
181,0,69.117,58.641
181,1,68.84,-113.74
181,0,29.412,-120.36
181,1,-15.848,-125.0
181,0,-31.796,-126.71
181,1,-29.287,47.802
182,0,66.897,35.719
182,1,69.016,-137.3
182,0,54.743,-140.62
182,1,3.9864,-146.62
182,0,-31.155,-150.26
182,1,-37.566,25.143
183,0,67.531,11.906
