rgt,trans_type,lat,lon,asc_req
69,1,42.72219545754058,6.601004577763832,1
69,0,2.8467999999999996,2.2542,1
69,1,-46.118,175.23,0
70,0,17.70805449784852,168.34690484722066,0
70,1,-40.02455289374707,150.81207855886356,0
71,0,11.154,145.4,0
71,1,2.35489513332625,-45.032823198290735,0
71,0,-29.325400683429663,-48.30402981778821,0
71,1,-34.64112144073312,126.5424927167354,1
72,0,41.97939225917533,118.36635621279548,0
72,1,22.85877087331229,-66.55724237157668,1
72,0,-56.58020351701106,-75.61547399509227,1
72,1,-6.521067391018021,99.93309106388898,1
73,0,26.883559785208817,96.51694526633608,0
73,1,39.966585923862404,-88.2310370511214,1
73,0,10.207,-91.485,1
74,1,6.511799999999999,75.007,0
74,0,32.531813526001805,72.26653767613224,0
74,1,36.76971957265936,-112.24116722907578,1
74,0,21.729999999999993,-113.91999999999999,1
75,1,4.5881,51.57999999999999,0
75,0,31.22562718731231,48.79468415275785,0
75,1,-3.8697355322148757,-140.1360181656331,1
75,0,-31.010999999999996,-142.97,1
75,1,-33.73499999999999,31.956,0
76,0,40.638399786613604,24.05644799116216,0
76,1,26.483306365062045,-160.6465647186054,1
76,0,-31.805,-166.68,1
77,1,1.0636999999999999,4.6959,0
77,0,63.745000000000005,-3.4139,0
77,1,9.8895,174.01,1
77,0,-30.543262022358675,169.8413866731381,1
77,1,-41.14584691916533,168.5794536870952,1
77,0,-51.49399999999999,167.13000000000002,1
78,1,13.98553338238496,150.80397904120534,1
78,0,-44.46507594614118,144.52764311211592,1
78,1,-23.28188234332684,-40.05644477413043,1
79,0,1.2346999999999997,-42.55799999999999,0
79,1,71.50599999999999,136.43,1
79,0,-36.95411559925429,121.86089731646322,1
79,1,-42.7779447433693,-61.41163374299614,1
80,0,21.237999999999996,-68.214,0
80,1,45.97750849703903,107.22095350797562,0
80,0,-8.07610038207097,101.3473742612291,0
81,1,9.716599999999998,-90.64699999999999,0
81,0,39.74206454817081,-93.92245180164552,0
81,1,27.697121923574425,81.39016248187909,1
81,0,4.122600000000001,78.951,1
82,1,23.941,-115.74,0
82,0,34.966510749869144,-116.96599551536677,0
82,1,44.599156812271694,59.795548126859146,1
82,0,13.413,56.269,1
82,1,-30.876000000000005,-133.7,0
82,0,-7.251299999999998,-136.17999999999998,0
83,1,36.00295635576707,35.09763568082303,0
83,0,-37.322434911108154,27.33926255140629,0
83,1,-33.03807810144734,-157.0754635777828,1
84,0,26.980999999999998,-163.31,0
84,1,44.6294053878288,12.56296102678322,1
84,0,-3.0716000000000006,7.3724,1
84,1,-30.39,179.0,0
85,0,4.4307,175.41,0
85,1,60.07409888986424,-8.54407724055735,0
85,0,50.2754820011901,-10.253909177033991,0
85,1,34.025000000000006,-12.373,1
85,0,5.885799999999998,-15.35,1
85,1,-26.833994853081084,154.990800485155,0
86,0,12.118999999999998,151.01,0
86,1,39.58638469752693,147.99579276296893,0
86,0,49.614384731673645,146.64267238971897,0
86,1,55.033,145.78000000000003,0
86,0,72.605,141.09999999999997,0
86,1,0.27836,-39.53099999999999,1
86,0,-26.723999999999997,-42.308,1
86,1,-36.10499999999999,132.43,0
87,0,39.46834073263457,124.39292061496704,0
87,1,19.708548437696926,-61.178885005001526,0
87,0,-57.928292048979394,-70.15537535798121,0
87,1,-11.810389647941038,106.1778976632765,1
88,0,27.71153329731543,102.13692348975437,0
88,1,39.72002516822054,100.74319143996495,0
88,0,44.766918144932035,100.09174124601333,0
88,1,39.8102737327149,-82.53969055047507,1
88,0,6.207899999999999,-86.17699999999999,1
89,1,2.0312000000000006,81.167,0
89,0,29.475109395442395,78.32172372819764,0
89,1,34.838341603598046,-106.75949534896397,1
89,0,19.974000000000004,-108.38999999999999,1
90,1,12.91,56.452,0
90,0,43.96496640523611,52.95796444263917,0
90,1,-8.939012786427735,-134.93518696679078,1
90,0,-31.006999999999994,-137.26,1
90,1,-23.381999999999998,36.519,0
91,0,42.40531969935324,29.541649720990254,0
91,1,26.020994890487003,-154.9870720832577,1
91,0,-31.328999999999994,-160.91999999999996,1
91,1,-26.568000000000005,13.244,0
92,0,57.401,3.6403,0
92,1,2.6922000000000006,178.99,1
92,0,-48.480999999999995,173.3,1
93,1,3.947,-13.500999999999998,0
93,0,37.039,-17.028,0
93,1,13.906879938948816,156.505982624747,1
93,0,-40.172301565076665,150.79358948029048,1
93,1,-11.193605212779667,-35.5996357796352,1
93,0,-3.5632704874603838,-36.368027576513,1
94,1,8.602499999999997,132.35,1
94,0,-35.956,127.68999999999997,1
94,1,-40.875,-55.94499999999999,0
95,0,20.498951497765304,-62.42636261709781,0
95,1,44.048769252499866,112.67028185019304,1
95,0,-11.395000000000001,106.71999999999998,1
96,1,5.0748,-84.47,0
96,0,39.96981376160077,-88.24065944252632,0
96,1,25.83615812961032,86.89735679657134,1
96,0,15.647000000000002,85.826,1
97,1,18.828999999999997,-109.48999999999998,0
97,0,36.762353985253164,-111.4677202459951,0
97,1,43.86347916794265,65.40685970027106,1
97,0,21.088,62.771999999999984,1
97,1,-31.828000000000003,-127.89000000000001,0
97,0,-13.963,-129.79,0
98,1,36.58560600079272,40.876579365292,0
98,0,-29.552299331903985,33.94897629827354,0
